URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/senologie-pathologie-praeparat,StructureDefinition/senologie-operation,StructureDefinition/senologie-follow-up,StructureDefinition/senologie-gynaekologische-anamnese,StructureDefinition/senologie-sozialdienst,StructureDefinition/senologie-diagnose-benigne,StructureDefinition/senologie-checkliste-erbliche-belastung,StructureDefinition/senologie-geplante-systemtherapie,StructureDefinition/senologie-pathologie-befund,StructureDefinition/senologie-genexpressions-score,StructureDefinition/senologie-diagnose-maligne,StructureDefinition/senologie-nebenwirkung,StructureDefinition/senologie-op-planung,StructureDefinition/senologie-pdl1-status,StructureDefinition/senologie-familienanamnese,StructureDefinition/senologie-operative-komplikation,StructureDefinition/senologie-bildgebung-observation,StructureDefinition/senologie-tumorlokalisation,StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-klinische-untersuchung,StructureDefinition/senologie-tumorboard-empfehlung,StructureDefinition/senologie-ki67-proliferationsindex,StructureDefinition/senologie-implantat,StructureDefinition/senologie-psychoonkologie,StructureDefinition/senologie-genexpressionstest,StructureDefinition/senologie-studienteilnahme,StructureDefinition/senologie-systemtherapie-procedure,StructureDefinition/senologie-strahlentherapie,StructureDefinition/senologie-bildgebung-sonstige,StructureDefinition/senologie-bildgebung-befund,StructureDefinition/senologie-somatische-mutation,StructureDefinition/senologie-begleitmedikation","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/manifestation-or-symptom,4.0.1,draft,"2.16.840.1.113883.4.642.3.169",ManifestationAndSymptomCodes,Manifestation and Symptom Codes,"Example value set for Manifestation and Symptom codes.","StructureDefinition/senologie-diagnose-benigne,StructureDefinition/senologie-diagnose-maligne","SCT"
http://hl7.org/fhir/ValueSet/medication-as-needed-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.96",SNOMEDCTMedicationAsNeededReasonCodes,SNOMED CT Medication As Needed Reason Codes,"This value set includes all clinical findings from SNOMED CT - provided as an exemplar value set.","StructureDefinition/senologie-geplante-systemtherapie,StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-begleitmedikation,StructureDefinition/senologie-op-planung","SCT"
http://hl7.org/fhir/ValueSet/medication-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.375",SNOMEDCTMedicationCodes,SNOMED CT Medication Codes,"This value set includes all drug or medicament substance codes and all pharmaceutical/biologic products from SNOMED CT - provided as an exemplar value set.","StructureDefinition/senologie-geplante-systemtherapie,StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-tumorboard-empfehlung","SCT"
http://hl7.org/fhir/ValueSet/medication-statement-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.370",Medication usage category codes,Medication usage category codes,"Medication Status Codes","StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-begleitmedikation","THO"
http://hl7.org/fhir/ValueSet/medication-statement-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.367",Medication Status Codes,Medication  status  codes,"Medication Status Codes","StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-begleitmedikation","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/medicationrequest-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.1322",medicationRequest Category Codes,Medication request  category  codes,"MedicationRequest Category Codes","StructureDefinition/senologie-geplante-systemtherapie","THO"
http://hl7.org/fhir/ValueSet/medicationrequest-course-of-therapy,4.0.1,draft,"2.16.840.1.113883.4.642.3.1326",medicationRequest Course of Therapy Codes,Medication request  course of  therapy  codes,"MedicationRequest Course of Therapy Codes","StructureDefinition/senologie-geplante-systemtherapie","THO"
http://hl7.org/fhir/ValueSet/medicationrequest-intent,4.0.1,draft,"2.16.840.1.113883.4.642.3.1321",medicationRequest Intent,Medication request  intent,"MedicationRequest Intent Codes","StructureDefinition/senologie-geplante-systemtherapie","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.1320",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","StructureDefinition/senologie-geplante-systemtherapie","hl7.fhir.uv.xver-r5.r4"
